brand_name,branch_name,city,province,review_count,average_rating,positive_reviews,negative_reviews
Chapar,Chapar Center,Tehran,Tehran Province,15,2.9333,5,6
Chapar,Chapar Shiraz,Shiraz,Fars,13,3.4615,8,4
Chapar,Chapar Tabriz,Tabriz,East Azerbaijan,13,3.0769,6,5
Tipax,Izeh Tipax agency,NULL,خوزستان,10,2.4,NULL,NULL
Tipax,Mahshahr Tipax,Bandar-e Mahshahr، فاز 4، بوستان ششم غربی,Abozar Blvd,10,3.0,NULL,NULL
Tipax,Monfared,NULL,Mazandaran,4,4.0,NULL,NULL
Tipax,TIHUB,Tehran,Tehran,10,1.0,NULL,NULL
Tipax,TIPAX,Isfahan,Isfahan,10,1.0,NULL,NULL
Tipax,TPG post,NULL,Hormozgan,2,3.5,NULL,NULL
Tipax,Tayeb -Shams Abadi- Taleghani,Isfahan,Isfahan,10,2.4,NULL,NULL
Tipax,TePox,NULL,Mazandaran,10,2.0,NULL,NULL
Tipax,Tipax,NULL,North Khorasan,10,3.2,NULL,NULL
Tipax,Tipax,NULL,Kohgiluyeh and Boyer-Ahmad,10,1.5,NULL,NULL
Tipax,Tipax,Tehran,Tehran,10,1.9,NULL,NULL
Tipax,Tipax (Branch No.1 of BandarAbbas),NULL,Hormozgan,10,2.5,NULL,NULL
Tipax,Tipax 30 Metri Jey Branch,تهران,تهران,1,1.0,NULL,NULL
Tipax,Tipax Central Office(انبار مرکزی شیراز),NULL,Fars,10,1.0,NULL,NULL
Tipax,Tipax Gisha,Tehran,Tehran,3,5.0,NULL,NULL
Tipax,Tipax Misaq,NULL,Fars,10,1.3,NULL,NULL
Tipax,Tipax behbahan,NULL,Khuzestan,10,1.5,NULL,NULL
Tipax,Tipax hemmat,NULL,Razavi Khorasan,10,1.6,NULL,NULL
Tipax,Tipax zabol,NULL,سیستان و بلوچستان,10,1.8,NULL,NULL
Tipax,Tipax تیپاکس شعبه صنعت,Isfahan,Isfahan,1,1.0,NULL,NULL
Tipax,Tipax تیپاکس هنرور,Mashhad,Razavi Khorasan,9,1.4444,NULL,NULL
Tipax,Tipax نمایندگی تیپاکس شعبه ایثار,NULL,Hormozgan,10,3.1,NULL,NULL
Tipax,Tipax: Kashmar Branch,NULL,Razavi Khorasan,10,2.3,NULL,NULL
Tipax,marvdasht tipax post office,NULL,Fars,10,1.7,NULL,NULL
Tipax,tipax,NULL,Hamadan,5,4.0,NULL,NULL
Tipax,tipax office,NULL,گیلان,10,4.0,NULL,NULL
Tipax,tippax ahwaz تیپاکس اهواز شعبه غرب کارون,NULL,Khuzestan,10,1.0,NULL,NULL
Tipax,ارسال با تیپاکس. نگارسرام,تهران,تهران,7,2.7143,NULL,NULL
Tipax,اصفهان خواجو,Isfahan,Isfahan,3,1.0,NULL,NULL
Tipax,انبار تیپاکس,Isfahan,Isfahan,2,1.0,NULL,NULL
Tipax,اکسس پوینت تیپاکس ابوذر غفاری,شیراز,فارس,2,4.5,NULL,NULL
Tipax,اکسس پوینت تیپاکس شیراز خیابان فلاح,NULL,Fars,2,5.0,NULL,NULL
Tipax,باربری تیپاکس,NULL,Chaharmahal and Bakhtiari,3,2.6667,NULL,NULL
Tipax,تی هاب شیراز ( انبار مرکزی تیپاکس ),اصفهان,اصفهان,1,5.0,NULL,NULL
Tipax,تی هاب مشهد,NULL,مرکزی,2,1.5,NULL,NULL
Tipax,تی هاب مشهد(انبار مرکزی تیپاکس مشهد),NULL,مرکزی,1,1.0,NULL,NULL
Tipax,تیپاکس,NULL,North Khorasan,7,2.8571,NULL,NULL
Tipax,تیپاکس,NULL,Ilam,10,3.4,NULL,NULL
Tipax,تیپاکس,Tehran,Tehran,10,2.1,NULL,NULL
Tipax,تیپاکس (دفتر مرکزی اهواز)(سه راه خرمشهر، رو به روی بانک ملت),NULL,Khuzestan,10,1.1,NULL,NULL
Tipax,تیپاکس (نمایندگی جاسک),NULL,Hormozgan,7,1.5714,NULL,NULL
Tipax,تیپاکس (پیروزی-نیروهوایی),Tehran,Tehran,5,3.4,NULL,NULL
Tipax,تیپاکس - شعبه پیرانشهر,NULL,West Azerbaijan,10,3.8,NULL,NULL
