brand_name,branch_name,city,average_rating,review_count
Tipax,TIHUB,Tehran,1.0,10
Tipax,TIPAX,Isfahan,1.0,10
Tipax,Tipax Central Office(انبار مرکزی شیراز),NULL,1.0,10
Tipax,tippax ahwaz تیپاکس اهواز شعبه غرب کارون,NULL,1.0,10
Tipax,تیپاکس ،ارسال سریع پستی,NULL,1.0,10
Tipax,تیپاکس شعبه پیروزی رضاشهر,Mashhad,1.0,10
Tipax,دفتر مرکزی تیپاکس تهران,تهران,1.0,10
Tipax,نمایندگی تیپاکس صفائیه یزد,NULL,1.0,10
Tipax,نمایندگی تیپاکس نظرآباد,NULL,1.0,10
Tipax,تیپاکس پونک,Tehran,1.0,8
Tipax,تیپاکس خوراسگان(نیک پور),Isfahan,1.0,6
Tipax,تیپاکس خمینی شهر شعبه همایون,Isfahan,1.0,5
Tipax,پست تیپاکس سرپرستی,NULL,1.0,4
Tipax,اصفهان خواجو,Isfahan,1.0,3
Tipax,نمایندگی تیپاکس شهرک صنعتی کلات,مشهد,1.0,3
Tipax,انبار تیپاکس,Isfahan,1.0,2
Tipax,تیپاکس جی شهروند,Isfahan,1.0,2
Tipax,تیپاکس شعبه 3اهواز,NULL,1.0,2
Tipax,تیپاکس شعبه وحدت,Tehran,1.0,2
Tipax,تیپاکس کارمانیا(شعبه ۹),NULL,1.0,2
Tipax,سرویس پوینت تیپاکس رزمجو,NULL,1.0,2
Tipax,Tipax 30 Metri Jey Branch,تهران,1.0,1
Tipax,Tipax تیپاکس شعبه صنعت,Isfahan,1.0,1
Tipax,تی هاب مشهد(انبار مرکزی تیپاکس مشهد),NULL,1.0,1
Tipax,تیپاکس احمد آباد,Isfahan,1.0,1
Tipax,تیپاکس ارشاد (نمایندگی صابرین),NULL,1.0,1
Tipax,تیپاکس حمیدیان,Rasht، خیابان امام رضا جنب دفتر پیشخوان، چهارراه جمهوری، 7H82+4R4,1.0,1
Tipax,تیپاکس خواجو اصفهان,Isfahan,1.0,1
Tipax,تیپاکس سرپرستی اهواز,NULL,1.0,1
Tipax,تیپاکس شعبه عبدالرزاق,Isfahan,1.0,1
Tipax,تیپاکس شعبه پادادشهر,Ahvaz، ‫معلم غربی، 7MRR+6R7,1.0,1
Tipax,تیپاکس فلکه چهارم تهرانپارس,Tehran,1.0,1
Tipax,تیپاکس نقش جهان,Isfahan,1.0,1
Tipax,دفتر تیپاکس اصفهان رباط,Isfahan,1.0,1
Tipax,دفتر مرکزی تیپاکس,Isfahan,1.0,1
Tipax,نمایندگی تیپاکس بنجار,NULL,1.0,1
Tipax,نمایندگی تیپاکس چهارراه سرداران,NULL,1.0,1
Tipax,نمایندگی تیپاکس یزد-اذر یزدی,NULL,1.0,1
Tipax,تیپاکس (دفتر مرکزی اهواز)(سه راه خرمشهر، رو به روی بانک ملت),NULL,1.1,10
Tipax,نمایندگی تیپاکس کاشان امیرکبیر,Isfahan,1.1,10
Tipax,نمایندگی تیپاکس بوکان,NULL,1.2,10
Tipax,Tipax Misaq,NULL,1.3,10
Tipax,سالن سورتینگ تیپاکس ( تی هاب ),Isfahan,1.3,10
Tipax,تیپاکس شعبه 4,58J3+Q8R نصر 1,1.4,10
Tipax,تیپاکس شعبه بوشهر,NULL,1.4,10
Tipax,تیپاکس شعبه کشاورز,Isfahan,1.4,10
Tipax,نمایندگی تیپاکس سراوان,NULL,1.4,10
Tipax,نمایندگی تیپاکس مشیریه,تهران,1.4,10
Tipax,Tipax تیپاکس هنرور,Mashhad,1.4444,9
Tipax,Tipax,NULL,1.5,10
Tipax,Tipax behbahan,NULL,1.5,10
Tipax,نمایندگی تیپاکس قرچک,Tehran,1.5,10
Tipax,تی هاب مشهد,NULL,1.5,2
Tipax,دفتر تیپاکس شعبه شهرک صنعتی جی,Isfahan,1.5,2
Tipax,تیپاکس (نمایندگی جاسک),NULL,1.5714,7
Tipax,تیپاکس شادمان,Tehran,1.5714,7
Tipax,Tipax hemmat,NULL,1.6,10
Tipax,تیپاکس شعبه ۱ نجف آباد,Najafabad,1.6,10
Tipax,تیپاکس قم|شعبه مرکزی,NULL,1.6,10
Tipax,تیپاکس باغستان,Tehran,1.6667,6
Tipax,تیپاکس بهارستان غربی,Isfahan,1.6667,6
Tipax,تیپاکس رامهرمز,NULL,1.6667,6
Tipax,نمایندگی تیپاکس گتوند,NULL,1.6667,6
Tipax,نمایندگی تیپاکس نواب,Tehran,1.6667,3
Tipax,marvdasht tipax post office,NULL,1.7,10
Tipax,تیپاکس شعبه خرمشهر,NULL,1.7,10
Tipax,تیپاکس نمایندگی صائب تبریزی,NULL,1.7,10
Tipax,نمایندگی تیپاکس اهواز سه,9P2H+P63,1.7,10
Tipax,Tipax zabol,NULL,1.8,10
Tipax,تیپاکس شعبه آرژانتین,Tehran,1.8,10
Tipax,تیپاکس شعبه کلهری,NULL,1.8,10
Tipax,تیپاکس گلستان,NULL,1.8,10
Tipax,دفتر تیپاکس شعبه نصر,NULL,1.8,10
Tipax,نمایندگی تیپاکس رشت رشتیان,NULL,1.8,10
Tipax,نمایندگی تیپاکس رهنان,Isfahan,1.8,10
Tipax,نمایندگی تیپاکس شیراز پاسارگاد,NULL,1.8,10
Tipax,نمایندگی تیپاکس قم نبوت,یزد,1.8,10
Tipax,نمایندگی تیپاکس واوان تهران,Tehran,1.8,10
Tipax,تیپاکس قلمستان,Karaj,1.875,8
Tipax,تیپاکس شعبه زیتون کارگری,NULL,1.8889,9
Tipax,Tipax,Tehran,1.9,10
Tipax,نمایندگی تیپاکس بوشهر سلمان فارسی,NULL,1.9,10
Tipax,نمایندگی تیپاکس بیرجند,NULL,1.9,10
Tipax,نمایندگی تیپاکس قشم ساحل,NULL,1.9,10
Tipax,TePox,NULL,2.0,10
Tipax,تیپاکس جویبار,NULL,2.0,10
Tipax,تیپاکس مهرشهر,Tehran,2.0,10
Tipax,تیپاکس نواب,NULL,2.0,10
Tipax,دفتر تیپاکس کازرون,NULL,2.0,10
Tipax,نمایندگی تیپاکس حکیم بیرجند,NULL,2.0,10
Tipax,تیپاکس فارابی شهرکرد,NULL,2.0,8
Tipax,نمایندگی تیپاکس باهنر,NULL,2.0,7
Tipax,تیپاکس جی - شهروند,Isfahan,2.0,4
