type,key,count,branch_ids,names
same_name_different_place,tipax,5,"2,83,371,478,575",tipax
same_name_different_place,تیپاکس,3,"4,477,574",تیپاکس
duplicate_review_content,7e78386b4b653cebd4b39811536a0cf20fef8b95a999847690977c9aeac1ed78,82,,"review_ids=[56, 231, 301, 312, 329]"
duplicate_review_content,869393f44c488b327488e7fcb01e23b0054de4b5e10e11962f28eba8e0d50384,37,,"review_ids=[350, 820, 866, 891, 1104]"
duplicate_review_content,02174a2eb705df51c776a16634cd9a5e7853017d967277e7ffe09102474e0f2c,34,,"review_ids=[26, 27, 230, 598, 629]"
duplicate_review_content,0e2e81e9def6fa7de10f594f12485fcec08dcb10c30a72dd59c769bb273c2acd,26,,"review_ids=[361, 518, 624, 867, 964]"
duplicate_review_content,bb6da96ff8ca0cad8eb5f5330227cf4594afc2fb145f30b8073b47a99f349b0b,18,,"review_ids=[30, 712, 967, 1443, 1480]"
duplicate_review_content,adbe45bf708094c5dc598788ffbdf497ec0bc19a0976d67ee6939892b2280777,18,,"review_ids=[311, 540, 545, 699, 819]"
duplicate_review_content,5b0922b59e400d826f3508b816f8b51d6846910c54e0c5fc1fd4c2459c002c8b,16,,"review_ids=[29, 966, 2080, 2115, 2138]"
duplicate_review_content,30b83434be3b9956eb4d9d6c82557ef239f529d635c1f0340ceb397676fce4d3,15,,"review_ids=[28, 299, 1009, 1296, 2000]"
duplicate_review_content,75fdee55cf3cee49814e31713c3436e73e7bc2e04009df52b8e27a1d78d57622,13,,"review_ids=[565, 968, 1706, 1992, 1995]"
duplicate_review_content,4b8ae0c144b8059c6c23506be5283b9c67154311585dd572a8e2e92659a1627f,11,,"review_ids=[333, 578, 698, 890, 1151]"
duplicate_review_content,df0fdcc36efc57295927e88b13a80dd97c3429011552af796a9287cba5d2f6a6,10,,"review_ids=[37, 564, 1510, 1784, 2117]"
duplicate_review_content,b96818960d2bebc7a9a16ed679355fe656afe4f496f00b7ae753f5b54f90d3d8,9,,"review_ids=[212, 680, 1103, 1688, 2209]"
duplicate_review_content,ba8ffdbf0ab4199e6e5f1f2a725828d451c770cd87077c58585b397774f8ccae,9,,"review_ids=[288, 544, 822, 1377, 2051]"
duplicate_review_content,a46a22adb30cac60a1c09fe362eb21d1a516fdcc7ffb28b3aed61f64ec9a99b5,8,,"review_ids=[83, 342, 2087, 2232, 2444]"
duplicate_review_content,f4bba12d281b819b49384aee0f042e2c85df34e3baa9dd3c1f84e9790097c9d7,8,,"review_ids=[448, 603, 1889, 2634, 2771]"
duplicate_review_content,9cb80829796c8526fe06fc9077164e3a0ff1b5dd5cf4a3659eff1968e5d0c6f7,8,,"review_ids=[1005, 1101, 1150, 1732, 2224]"
duplicate_review_content,9ff0e7e681a9f3d90b34081e9cbb3dfb99ab379b55c89fa7fe448b5c38a6761f,7,,"review_ids=[447, 467, 697, 1069, 1245]"
duplicate_review_content,42443183a7dbbbd19f97998c812e89950aad45ba71bc9b02ed020497f2249ce5,7,,"review_ids=[579, 997, 1295, 1896, 1985]"
duplicate_review_content,cfdc22b1682f8082496e65a6fc47fcb992700a1cbbfa3202772d593e125071e0,7,,"review_ids=[665, 828, 940, 2069, 2311]"
duplicate_review_content,0f4beae16a468a4c3ed88d7246503279228c145b410d2f902761e466763c113c,6,,"review_ids=[35, 965, 1542, 2079, 2665]"
duplicate_review_content,643790ac83e1dd81464c5fe4781b38cbb7e2782353e12fecd1cc389e787e262b,6,,"review_ids=[1093, 1330, 1439, 1446, 3329]"
duplicate_review_content,b4a137bd635cc70ba16568e9fc6f1fc7d4abca950eeab44b63e8c4e879287bf0,5,,"review_ids=[85, 700, 1201, 1445, 2927]"
duplicate_review_content,a2de63536503db494e781f89250f8799ab6a3834483c9f479000d9b0f4c35b33,5,,"review_ids=[506, 829, 1202, 2521, 2640]"
duplicate_review_content,ca26f5536b4ba8b76b3f228bb2b888fab01dc796c7bfdf1ce5867e51fb0ddeba,5,,"review_ids=[733, 2088, 2238, 2355, 3328]"
duplicate_review_content,1db2364b5579d1e08730704810f4feb9dc6c4f2da04d434845ba0e3bce17413b,5,,"review_ids=[821, 1822, 2405, 2571, 2767]"
duplicate_review_content,3075aa606745ee26dcb754e83c7e34f99e68144ac7f95ce623588b1f345bb7cf,4,,"review_ids=[232, 1994, 2140, 2745]"
duplicate_review_content,706b043f7af3fb4aa7ae11c9f218cdad674a7ceea3a93c5fbc309f5c42fd0cba,4,,"review_ids=[289, 2233, 3018, 3026]"
duplicate_review_content,540a7541d2591ecfe4049d3cba7e796ee4ed347553912b55e0b1a392d3b612cd,4,,"review_ids=[297, 865, 2133, 3097]"
duplicate_review_content,1b9aa0d24c34e290c4a8a4b52e6ecd2dfc6800a9bfe61e519a6701ee920128a3,4,,"review_ids=[334, 416, 1547, 2569]"
duplicate_review_content,7b901c2a4a4f2c465720ae2e0a1d3f7e2484d5c7dd374b17e9542f31c948292e,4,,"review_ids=[335, 1584, 3154, 3330]"
