brand,branch,city,province,average_rating,total_reviews,complaint_count,complaint_distribution,sentiment_distribution,last_review_date,sources
Tipax,TIHUB,تهران,تهران,1.0,10,8,"{""Lost Package"": 1, ""Other"": 6, ""Delay"": 1}","{""Positive"": 2, ""Negative"": 8}",a year ago,google_maps
Tipax,Tipax,NULL,خراسان شمالی,3.2,10,4,"{""Other"": 2, ""Delay"": 2}","{""Negative"": 4, ""Neutral"": 1, ""Positive"": 5}",Edited 7 years ago,google_maps
Tipax,tipax,NULL,همدان,2.5,2,1,"{""Other"": 1}","{""Neutral"": 1, ""Negative"": 1}",7 months ago,google_maps
Tipax,تیپاکس 4,58J3+Q8R نصر 1,Bandar Abbas,1.0,5,5,"{""Mobile App"": 1, ""Pricing"": 1, ""Other"": 3}","{""Negative"": 5}",Edited 2 years ago,google_maps
Tipax,تیپاکس,NULL,خراسان شمالی,2.75,4,3,"{""Other"": 3}","{""Negative"": 3, ""Positive"": 1}",a year ago,google_maps
Tipax,تیپاکس کشاورز,اصفهان,اصفهان,1.4,10,8,"{""Delay"": 3, ""Other"": 2, ""Staff Behavior"": 3}","{""Positive"": 2, ""Negative"": 8}",a year ago,google_maps
Tipax,تیپاکس فیاض بخش,تهران,تهران,1.0,1,1,"{""Other"": 1}","{""Negative"": 1}",a year ago,google_maps
Tipax,سالن سورتینگ تیپاکس ( تی هاب ),اصفهان,اصفهان,1.3,10,7,"{""Staff Behavior"": 1, ""Other"": 4, ""Pricing"": 1, ""Delay"": 1}","{""Negative"": 7, ""Positive"": 3}",a year ago,google_maps
Tipax,تیپاکس ملاصدرا,NULL,فارس,2.0,8,6,"{""Other"": 3, ""Delay"": 2, ""Pricing"": 1}","{""Negative"": 6, ""Positive"": 2}",a year ago,google_maps
Tipax,تیپاکس قم| مرکزی,NULL,قم,1.6,10,8,"{""Delay"": 2, ""Mobile App"": 1, ""Staff Behavior"": 1, ""Other"": 3, ""Pricing"": 1}","{""Negative"": 8, ""Positive"": 1, ""Neutral"": 1}",a year ago,google_maps
