city,reviews,avg_rating,brands
29HG+JMJ,1,1.0,1
58J3+Q8R نصر 1,5,1.0,1
69Q3+5GP,5,1.8,1
9P2H+P63,9,1.7778,1
Ahvaz، ‫بلوار ناصح شرقی،دفتر تیپاکس، بلوار معلم، پلاک ابتدای,1,5.0,1
Ahvaz، ‫معلم غربی، 7MRR+6R7,1,1.0,1
Bandar-e Mahshahr، فاز 4، بوستان ششم غربی,7,2.7143,1
F9V6+PG8,1,3.0,1
FV47+X35,6,2.0,1
Khash، خیابان نیکبخت، 66F7+576,10,2.9,1
Qaderabad,2,3.0,1
Rasht، خیابان امام رضا جنب دفتر پیشخوان، چهارراه جمهوری، 7H82+4R4,1,1.0,1
Surak,1,2.0,1
Tajrish,1,5.0,1
آمل,10,4.2,1
اراک,10,3.1,1
اردبیل,3,5.0,1
اصفهان,161,2.3789,3
اهر,11,2.0909,1
اهواز,10,4.0,1
ایذه,8,2.125,1
ایرانشهر,3,3.6667,1
بابل,17,2.1176,1
تبریز,9,3.1111,1
تنکابن,4,4.5,1
تهران,323,2.2848,4
خمین,6,2.1667,1
خیابان فاطمی خیابان علیزاده,1,5.0,1
دزفول,2,3.0,1
دهکده المپیک خیابان ساحل,6,2.3333,1
رشت,4,4.5,1
روبروی مسجد رکن الملک،,10,2.6,1
ری,76,2.6316,2
زابل,10,1.8,1
سرخرود،,3,4.0,1
سلماس,3,5.0,1
شیراز,11,3.2727,3
طرقبه، طرقبه بعد از پمپ بنزین، امام خمینی ۵، قطعه سوم،,10,2.5,1
فردوس,10,1.7,1
قم,10,1.7,1
قوچان,2,5.0,1
مشهد,32,1.6875,1
نجف آباد,10,1.6,1
نوشهر,10,2.0,1
همدان,6,2.3333,1
کازرون,8,2.25,1
کرج,13,3.0,1
کرمان,10,3.0,1
یزد,9,1.4444,1
