province,reviews,avg_rating,brands
Abozar Blvd,7,2.7143,1
Ahvaz,9,1.7778,1
Bandar Abbas,10,1.4,1
Basmenj,1,1.0,1
Boulevard Imam,2,3.0,1
Feiz St,10,2.6,1
Fowqani,1,5.0,1
Hafez St,2,5.0,1
Iran,23,2.6522,1
Kahrizak,1,3.0,1
Marjan Alley,1,5.0,1
Riazi St، روبه روی حلال احمر,10,1.6,1
Zahedan,6,2.0,1
، خ دانش، جنب پارک,3,4.0,1
آذربایجان شرقی,55,3.0727,3
آذربایجان غربی,41,2.2927,1
اردبیل,3,5.0,1
اصفهان,161,2.3789,3
البرز,48,2.0625,1
ایلام,10,3.4,1
بوشهر,17,1.5294,1
تهران,323,2.2848,4
جنب سوپرمارکت شمال دفتر تیپاکس,1,2.0,1
خراسان جنوبی,18,1.9444,1
خراسان رضوی,75,2.4667,2
خراسان شمالی,23,2.9565,1
خوزستان,110,2.1364,2
خیابان آرام,3,4.3333,1
خیابان ۴۵، Iran,6,2.3333,1
ده متری اول,10,4.2,1
زنجان,2,1.0,1
سمنان,10,2.3,1
سیستان و بلوچستان,29,1.5517,1
فارس,122,2.6885,4
قم,30,1.7,2
لرستان,14,2.8571,1
مازندران,92,2.6413,2
مرکزی,2,1.5,1
هرمزگان,65,2.4154,1
همدان,17,2.4118,1
چهارمحال و بختیاری,12,2.0,1
کردستان,20,1.5,1
کرمان,31,2.9355,2
کهگیلویه و بویراحمد,10,1.5,1
گلستان,10,1.8,1
گیلان,58,3.4138,2
یزد,24,1.625,1
