timestamp,query,level,raw,new,dups,total_unique,error
"2026-08-03 05:09:11,423",تیپاکس,nationwide,4,4,0,4,
"2026-08-03 05:10:04,340",Tipax,nationwide,80,79,1,83,
"2026-08-03 05:10:04,340",Tipax,nationwide,80,79,1,,
"2026-08-03 05:10:57,331",نمایندگی تیپاکس,nationwide,77,68,9,151,
"2026-08-03 05:11:49,817",اکسس پوینت تیپاکس,nationwide,8,7,1,158,
"2026-08-03 05:12:42,356",Tipax branch,nationwide,25,11,14,169,
"2026-08-03 05:12:42,356",Tipax branch,nationwide,25,11,14,,
"2026-08-03 05:13:35,241",Tipax service point,nationwide,70,22,48,191,
"2026-08-03 05:14:28,189",تیپاکس ایران,nationwide,80,47,33,238,
"2026-08-03 05:15:21,094",Tipax ایران,nationwide,80,23,57,261,
"2026-08-03 05:19:44,726",تیپاکس آذربایجان شرقی,province,29,26,3,340,
"2026-08-03 05:20:37,218",تیپاکس آذربایجان غربی,province,21,19,2,359,
"2026-08-03 05:21:29,745",تیپاکس البرز,province,19,15,4,374,
"2026-08-03 05:22:22,173",تیپاکس خراسان جنوبی,province,2,2,0,376,
"2026-08-03 05:23:14,804",تیپاکس خراسان رضوی,province,43,37,6,413,
"2026-08-03 05:24:07,271",تیپاکس خراسان شمالی,province,3,3,0,416,
"2026-08-03 05:24:59,890",تیپاکس خوزستان,province,36,25,11,441,
"2026-08-03 05:25:52,398",تیپاکس سیستان و بلوچستان,province,19,16,3,457,
"2026-08-03 05:33:08,714",تیپاکس گلستان,province,1,0,1,554,
"2026-08-03 05:34:01,378",تیپاکس گیلان,province,46,40,6,594,
"2026-08-03 05:34:54,012",نمایندگی تیپاکس آذربایجان شرقی,province,28,1,27,595,
"2026-08-03 05:35:46,558",نمایندگی تیپاکس آذربایجان غربی,province,17,0,17,595,
"2026-08-03 05:36:39,031",نمایندگی تیپاکس البرز,province,7,0,7,595,
"2026-08-03 05:36:55,156",نمایندگی تیپاکس ایلام,province,1,0,1,595,
"2026-08-03 05:37:47,628",نمایندگی تیپاکس بوشهر,province,7,7,0,602,
"2026-08-03 05:38:40,118",نمایندگی تیپاکس خراسان جنوبی,province,2,0,2,602,
"2026-08-03 05:39:32,739",نمایندگی تیپاکس خراسان رضوی,province,40,4,36,606,
"2026-08-03 05:40:25,232",نمایندگی تیپاکس خراسان شمالی,province,8,4,4,610,
"2026-08-03 05:52:26,487",نمایندگی تیپاکس گلستان,province,1,0,1,628,
"2026-08-03 05:53:19,067",نمایندگی تیپاکس گیلان,province,34,0,34,628,
"2026-08-03 05:54:11,512",تیپاکس Ardabil,gap_probe,6,5,1,633,
"2026-08-03 05:55:03,959",تیپاکس Kermanshah,gap_probe,6,6,0,639,
"2026-08-03 05:55:56,388",Tipax Ardabil,gap_probe,4,0,4,639,
"2026-08-03 05:55:56,388",Tipax Ardabil,gap_probe,4,0,4,,
"2026-08-03 06:09:12,538",تیپاکس آباده,city,2,1,1,647,
"2026-08-03 06:09:28,671",تیپاکس آبدانان,city,1,1,0,648,
"2026-08-03 06:09:44,824",تیپاکس آبیک,city,1,0,1,648,
"2026-08-03 06:10:00,972",تیپاکس آران و بیدگل,city,1,0,1,648,
"2026-08-03 06:10:17,131",تیپاکس آستارا,city,1,1,0,649,
"2026-08-03 06:10:33,297",تیپاکس آق‌قلا,city,1,1,0,650,
"2026-08-03 06:11:25,760",تیپاکس آمل,city,2,0,2,650,
"2026-08-03 06:11:41,901",تیپاکس ابهر,city,1,1,0,651,
"2026-08-03 06:54:57,839",تیپاکس تنکابن,city,2,0,2,690,
"2026-08-03 06:55:50,805",تیپاکس تهران,city,80,21,59,711,
"2026-08-03 06:56:06,952",تیپاکس تویسرکان,city,1,1,0,712,
"2026-08-03 06:56:23,074",تیپاکس جاجرم,city,1,0,1,712,
"2026-08-03 06:56:39,208",تیپاکس جهرم,city,1,0,1,712,
"2026-08-03 06:56:55,368",تیپاکس جیرفت,city,1,1,0,713,
"2026-08-03 07:26:10,546",تیپاکس فولادشهر,city,1,0,1,747,
"2026-08-03 07:26:26,696",تیپاکس فومن,city,1,0,1,747,
"2026-08-03 07:26:42,837",تیپاکس فیروزکوه,city,1,1,0,748,
"2026-08-03 07:26:58,987",تیپاکس قائم‌شهر,city,1,1,0,749,
"2026-08-03 07:27:15,126",تیپاکس قائن,city,1,1,0,750,
"2026-08-03 07:56:22,327",تیپاکس کوهدشت,city,1,0,1,793,
"2026-08-03 07:56:38,470",تیپاکس کیش,city,1,1,0,794,
"2026-08-03 07:56:54,622",تیپاکس گرمسار,city,1,1,0,795,
"2026-08-03 07:57:47,088",تیپاکس گرگان,city,3,3,0,798,
"2026-08-03 07:58:03,233",تیپاکس گناباد,city,1,0,1,798,
"2026-08-03 08:26:35,326",نمایندگی تیپاکس گرمی,gap_probe,1,0,1,811,
"2026-08-03 08:27:27,778",اکسس پوینت تیپاکس اردبیل,gap_probe,6,0,6,811,
"2026-08-03 08:27:43,938",اکسس پوینت تیپاکس اسلام‌آباد غرب,gap_probe,1,0,1,811,
"2026-08-03 08:28:00,062",اکسس پوینت تیپاکس بیله‌سوار,gap_probe,1,0,1,811,
"2026-08-03 08:28:16,205",اکسس پوینت تیپاکس جوانرود,gap_probe,1,0,1,811,
"2026-08-03 08:55:06,469",مرکز تیپاکس اردبیل,gap_probe,5,0,5,816,
