review_id,brand,branch_name,province,city,full_address,latitude,longitude,review_date,review_text,rating,review_source,review_url,reviewer_name,likes_count,reply_exists,company_reply,reply_date,sentiment,emotion,complaint_category,urgency,confidence_score
4448e786cd34eda1,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-06-05,Slow delivery speed and bad professionalism from staff. (Tehran),2.0,analytics_demo,NULL,user_Ch_5_1,NULL,false,NULL,NULL,Negative,Disappointed,delivery_delay,High,90
9e965b14950fbce0,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-05-23,Good customer service and helpful staff behavior by Mr Karimi. (Tehran),4.0,analytics_demo,NULL,user_Ch_5_4,NULL,false,NULL,NULL,Positive,Satisfied,staff_behavior,Low,90
e1bd95c6122b625a,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-05-06,Neutral experience. Communication was average. (Tehran),3.0,analytics_demo,NULL,user_Ch_5_6,NULL,false,NULL,NULL,Neutral,Satisfied,other,Low,70
0ea3ad8377e9deb5,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-07-31,Package arrived damaged and tracking quality was bad. (Tehran),2.0,analytics_demo,NULL,user_Ch_5_11,NULL,false,NULL,NULL,Negative,Disappointed,package_damage,High,90
c6251e3d29d8c1f3,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-05-18,Fast delivery and good tracking. Professional team. (Tehran),4.0,analytics_demo,NULL,user_Ch_5_12,NULL,false,NULL,NULL,Positive,Satisfied,tracking,Low,90
245bad92aafb5d86,Chapar,Chapar Center,Tehran Province,Tehran,"Tehran Province, Tehran",NULL,NULL,2026-08-01,"Average service, normal delivery, fair pricing overall. (Tehran)",3.0,analytics_demo,NULL,user_Ch_5_14,NULL,false,NULL,NULL,Neutral,Satisfied,other,Low,70
e10b765dd521e938,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-05-15,Neutral experience. Communication was average. (Shiraz),3.0,analytics_demo,NULL,user_Ch_6_1,NULL,false,NULL,NULL,Neutral,Satisfied,other,Low,70
4a742020f3230596,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-06-22,Cheap pricing and great communication from Ms Rezaei. (Shiraz),5.0,analytics_demo,NULL,user_Ch_6_2,NULL,false,NULL,NULL,Positive,Happy,other,Low,80
ace52cd7a88f3433,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-05-05,Slow delivery speed and bad professionalism from staff. (Shiraz),2.0,analytics_demo,NULL,user_Ch_6_3,NULL,false,NULL,NULL,Negative,Disappointed,delivery_delay,High,90
a5f4f5eb847b0e4f,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-06-04,Worst delivery delay and package damage. Tracking never updated. (Shiraz),1.0,analytics_demo,NULL,user_Ch_6_5,NULL,false,NULL,NULL,Negative,Angry,delivery_delay,Critical,90
18a005120bb7ee45,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-06-12,Great service and fast delivery. Excellent professionalism. (Shiraz),5.0,analytics_demo,NULL,user_Ch_6_6,NULL,false,NULL,NULL,Positive,Happy,other,Low,80
5501d86b6a8b6826,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-06-11,Good customer service and helpful staff behavior by Mr Karimi. (Shiraz),4.0,analytics_demo,NULL,user_Ch_6_7,NULL,false,NULL,NULL,Positive,Satisfied,staff_behavior,Low,90
b5025aedb17e31af,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-05-12,Fast delivery and good tracking. Professional team. (Shiraz),4.0,analytics_demo,NULL,user_Ch_6_9,NULL,false,NULL,NULL,Positive,Satisfied,tracking,Low,90
affb0996de00f474,Chapar,Chapar Shiraz,Fars,Shiraz,"Fars, Shiraz",NULL,NULL,2026-07-24,Package arrived damaged and tracking quality was bad. (Shiraz),2.0,analytics_demo,NULL,user_Ch_6_11,NULL,false,NULL,NULL,Negative,Disappointed,package_damage,High,90
238802284c644d18,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-06-19,Expensive pricing and awful customer service in the branch. (Tabriz),1.0,analytics_demo,NULL,user_Ch_7_0,NULL,false,NULL,NULL,Negative,Angry,price,High,90
9aff4f5d9611d524,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-07-26,Cheap pricing and great communication from Ms Rezaei. (Tabriz),5.0,analytics_demo,NULL,user_Ch_7_1,NULL,false,NULL,NULL,Positive,Happy,other,Low,80
61393f612ff1e398,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-07-20,Great service and fast delivery. Excellent professionalism. (Tabriz),5.0,analytics_demo,NULL,user_Ch_7_4,NULL,false,NULL,NULL,Positive,Happy,other,Low,80
c8f152b89c4ed630,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-05-15,Neutral experience. Communication was average. (Tabriz),3.0,analytics_demo,NULL,user_Ch_7_5,NULL,false,NULL,NULL,Neutral,Satisfied,other,Low,70
fdfe9b47f4976208,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-07-23,Worst delivery delay and package damage. Tracking never updated. (Tabriz),1.0,analytics_demo,NULL,user_Ch_7_6,NULL,false,NULL,NULL,Negative,Angry,delivery_delay,Critical,90
2096dac27ac03108,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-05-15,Package arrived damaged and tracking quality was bad. (Tabriz),2.0,analytics_demo,NULL,user_Ch_7_7,NULL,false,NULL,NULL,Negative,Disappointed,package_damage,High,90
ad84fe4d03e494ec,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-07-13,Good customer service and helpful staff behavior by Mr Karimi. (Tabriz),4.0,analytics_demo,NULL,user_Ch_7_8,NULL,false,NULL,NULL,Positive,Satisfied,staff_behavior,Low,90
b6ac7badaf555c72,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-06-18,"Average service, normal delivery, fair pricing overall. (Tabriz)",3.0,analytics_demo,NULL,user_Ch_7_9,NULL,false,NULL,NULL,Neutral,Satisfied,other,Low,70
630db3c1909caafa,Chapar,Chapar Tabriz,East Azerbaijan,Tabriz,"East Azerbaijan, Tabriz",NULL,NULL,2026-07-17,Fast delivery and good tracking. Professional team. (Tabriz),4.0,analytics_demo,NULL,user_Ch_7_11,NULL,false,NULL,NULL,Positive,Satisfied,tracking,Low,90
