rank,company,branch,city,province,branch_score,overall_rating,review_count,last_activity
1,Tipax,نمایندگی تیپاکس فسا سرو,,Fars,63.33,5.0,10,a year ago
2,Tipax,تیپاکس منجیل,,Gilan,61.03,4.6,10,9 months ago
3,Tipax,تیپاکس شعبه میانه,,East Azerbaijan,60.93,4.4,10,a year ago
4,Tipax,تیپاکس مرکزی صدرا,,Fars,60.08,5.0,7,7 months ago
5,AloPeyk,الوپیک شیراز,,Fars,60.07,4.4,10,8 years ago
6,AloPeyk,Alopeyk,,Razavi Khorasan,59.87,4.1,10,Edited 8 years ago
7,Tipax,شعبه تیپاکس قوچان,Quchan,Hafez St,59.69,4.444,9,a year ago
8,Tipax,تیپاکس شعبه نورآباد,,Fars,59.67,4.6,10,7 years ago
9,Tipax,تیپاکس فرهنگ شهر,,خوزستان,59.63,4.0,10,a year ago
10,AloPeyk,الوپیک اصفهان,Isfahan,Isfahan,58.97,4.3,10,8 years ago
11,Tipax,سرویس پوینت تیپاکس بازار عبدل آباد,Tehran,Tehran,58.88,5.0,6,a year ago
12,Tipax,تیپاکس نمایندگی فیروزآباد,,Fars,58.88,5.0,6,7 months ago
13,Tipax,تیپاکس اسالم,,Gilan,58.88,5.0,6,a year ago
14,Tipax,تیپاکس آمل ۱۷شهریور - Tipax Amol Branch,Amol,ده متری اول,58.73,4.2,10,7 months ago
15,Tipax,نمایندگی تیپاکس شعبه میانه 2,,East Azerbaijan,58.69,4.222,9,a year ago
16,Tipax,تیپاکس شعبه ماسال,,Gilan,58.27,4.0,10,a year ago
17,Chapar,Chapar System,,Gilan,58.01,4.125,8,a year ago
18,Tipax,تیپاکس آریا,Isfahan,Isfahan,58.0,4.1,10,a year ago
19,Tipax,تیپاکس کن,تهران,تهران,57.8,4.333,6,a year ago
20,Tipax,تیپاکس نیشابور شعبه بینالود,,Razavi Khorasan,57.8,3.8,10,a year ago
21,Tipax,tipax office,,گیلان,57.77,4.0,10,a month ago
22,Tipax,تیپاکس پل تمدن,اصفهان,اصفهان,57.6,5.0,5,a year ago
23,Tipax,نمایندگی تیپاکس شیرگاه,,Mazandaran,57.6,5.0,5,a year ago
24,Mahex,ماهکس لاله زار,Tehran,Tehran,57.6,5.0,5,7 months ago
25,Tipax,تیپاکس استاد شهریار تبریز (تیپاکس میدان رسالت),,East Azerbaijan,57.55,4.111,9,a year ago
26,Tipax,تیپاکس مشتاق,Isfahan,Isfahan,57.53,4.429,7,a year ago
27,Tipax,تیپاکس سمن,Isfahan,Isfahan,57.32,4.8,5,a year ago
28,Tipax,نمایندگی تیپاکس کلاچای,,Gilan,57.07,3.889,9,a year ago
29,Chapar,کالا رسانان چاپار ساری chapar,,Mazandaran,57.01,4.143,7,a year ago
30,Tipax,نمایندگی تیپاکس چهاردانگه,Tehran,Tehran,56.87,3.4,10,Edited 4 years ago
31,Tipax,تیپاکس شعبه جهرم,,Fars,56.8,3.8,10,a year ago
32,Chapar,Chapar Shiraz,Shiraz,Fars,56.45,3.462,13,2026-07-25
33,Tipax,تیپاکس - شعبه پیرانشهر,,West Azerbaijan,56.43,3.8,10,a year ago
34,Tipax,تیپاکس نمایندگی نگارخانه,,Kerman,56.33,3.6,10,a month ago
35,Tipax,تیپاکس سلماس,,آذربایجان غربی,56.25,5.0,4,a year ago
36,Tipax,تیپاکس شعبه نور,,Mazandaran,55.97,3.6,10,a year ago
37,Mahex,نمایندگی ماهکس فاطمی,خیابان فاطمی خیابان علیزاده,Marjan Alley,55.96,4.75,4,a year ago
38,Tipax,تیپاکس زرقان,,Fars,55.95,4.167,6,5 years ago
39,Tipax,تیپاکس دیلمان,Rasht,خیابان آرام,55.88,4.2,5,8 months ago
40,Tipax,تیپاکس فاطمی,Tehran,Tehran,55.53,4.0,10,4 years ago
41,Tipax,نمایندگی تیپاکس شعبه ساحل طلایی,,مازندران,55.28,4.2,5,8 months ago
42,Tipax,تیپاکس کاشان شعبه مشفق,Isfahan,Isfahan,55.17,3.667,9,a year ago
43,Tipax,تیپاکس زینبیه,Isfahan,Isfahan,55.12,4.4,5,a year ago
44,Tipax,تیپاکس شعبه نقده,,West Azerbaijan,55.11,4.0,6,a week ago
45,Tipax,Tipax Mashhad,Mashhad,Razavi Khorasan,55.02,3.167,18,2026-07-27
46,Tipax,سرویس پوینت تیپاکس رویان,,Mazandaran,55.01,3.625,8,a year ago
47,Tipax,تیپاکس نمایندگی بندر امام خمینی,,خوزستان,55.0,3.4,10,Edited 5 years ago
48,Tipax,تیپاکس لاله زار,Tehran,Tehran,54.97,3.857,7,5 years ago
49,Post,Urmia Post Office,,West Azerbaijan,54.88,3.5,6,a year ago
50,Tipax,تیپاکس میانرود,,Fars,54.84,4.2,5,a year ago
51,Tipax,نمایندگی تیپاکس کوار,,Fars,54.84,3.833,6,a year ago
52,Tipax,تیپاکس محله کوجان,Isfahan,Isfahan,54.82,5.0,3,a year ago
53,Tipax,تیپاکس چهلستون,Isfahan,Isfahan,54.82,5.0,3,a week ago
54,Tipax,Tipax Gisha,Tehran,Tehran,54.82,5.0,3,a year ago
55,Tipax,نمایندگی تیپاکس فلاح,Tehran,Tehran,54.82,5.0,3,a year ago
56,Tipax,تیپاکس مجتمع خلیج فارس,,فارس,54.82,5.0,3,a year ago
57,Tipax,نمایندگی تیپاکس شعبه اروند ماهشهر,,Khuzestan,54.82,5.0,3,a year ago
58,Tipax,تیپاکس رشت صنعتی,,Gilan,54.82,5.0,3,7 months ago
59,Tipax,تیپاکس لنگرود آزادی,,Gilan,54.82,5.0,3,a year ago
60,Tipax,نمایندگی تیپاکس پره سر,,Gilan,54.82,5.0,3,4 years ago
61,Mahex,نمایندگی ماهکس خلخال,Ardabil,Ardabil,54.82,5.0,3,8 months ago
62,Tipax,نمایندگی تیپاکس هرات,,Yazd,54.52,4.667,3,7 months ago
63,Tipax,نمایندگی تیپاکس تکاب آذربایجان غربی,,West Azerbaijan,54.52,4.667,3,7 months ago
64,Tipax,تیپاکس گلسار رشت,,Gilan,54.5,3.4,10,a year ago
65,Tipax,تیپاکس نمایندگی رستم آباد,,Gilan,54.33,3.75,8,6 years ago
66,Tipax,تیپاکس مهاباد شعبه مرکزی _ شاهی جان,,West Azerbaijan,54.17,3.444,9,a year ago
67,Tipax,تیپاکس کیانمهر,Karaj,Alborz,54.13,3.4,10,a year ago
68,Tipax,تیپاکس,,Ilam,54.13,3.4,10,a year ago
69,Tipax,tipax,,Hamadan,53.96,4.0,5,9 months ago
70,Tipax,تیپاکس سورک,Surak,جنب سوپرمارکت شمال دفتر تیپاکس,53.91,4.0,3,3 years ago
71,Tipax,نمایندگی تیپاکس حکیمیه,Tehran,Tehran,53.9,3.3,10,7 months ago
72,Tipax,تیپاکس عباس آباد,Tehran,Tehran,53.83,2.9,10,a year ago
73,Tipax,تیپاکس سردشت,,West Azerbaijan,53.83,3.5,8,7 months ago
74,Chapar,Chapar Tabriz,Tabriz,East Azerbaijan,53.69,3.077,13,2026-08-01
75,Tipax,نمایندگی تیپاکس فلاورجان,اصفهان,اصفهان,53.67,3.2,10,a year ago
76,Tipax,تیپاکس سرخرود,سرخرود،,، خ دانش، جنب پارک,53.67,4.25,4,3 years ago
77,Tipax,نمایندگی تیپاکس لردگان,,چهارمحال و بختیاری,53.6,3.667,3,a year ago
78,Tipax,تیپاکس مهدیه,,Kerman,53.57,3.667,6,a year ago
79,Tipax,تیپاکس بندرلنگه,,Hormozgan,53.57,3.0,10,a month ago
80,Post,Post Office,Tehran,Tehran,53.56,4.333,3,7 years ago
81,Tipax,تیپاکس قادرآباد,Qaderabad,Boulevard Imam,53.38,4.0,4,a year ago
82,Tipax,تیپاکس نمایندگی خاوران,Tehran,Tehran,53.38,4.0,4,a year ago
83,Tipax,تیپاکس جانبازان رشت,,Gilan,53.38,4.0,4,a year ago
84,Tipax,Monfared,,Mazandaran,53.38,4.0,4,a month ago
85,Tipax,اکسس پوینت تیپاکس شیراز خیابان فلاح,,Fars,53.31,5.0,2,a year ago
86,Tipax,تیپاکس ورزنه,Isfahan,Isfahan,53.31,5.0,2,3 years ago
87,Tipax,تیپاکس خانه اصفهان - جمع آوری مرسولات پستی,Isfahan,Isfahan,53.31,5.0,2,7 months ago
88,Tipax,تیپاکس پلاسکو,تهران,تهران,53.31,5.0,2,7 months ago
89,Tipax,شعبه تیپاکس آجودانیه,Tehran,Tehran,53.31,5.0,2,6 months ago
90,Tipax,تیپاکس آرین,,Fars,53.31,5.0,2,Edited a month ago
91,Tipax,تیپاکس. کجوار-باغمعروف,,East Azerbaijan,53.31,5.0,2,a year ago
92,Tipax,تیپاکس بسطامی,,Kerman,53.31,5.0,2,a year ago
93,Tipax,تیپاکس الیگودرز,,Lorestan,53.31,5.0,2,a month ago
94,Tipax,نمایندگی تیپاکس سیریک,,هرمزگان,53.31,5.0,2,3 years ago
95,Mahex,Mahex Sanandaj,,Kurdistan,53.31,5.0,2,Edited 3 years ago
96,Mahex,نمایندگی ماهکس شمال خوزستان,,Khuzestan,53.31,5.0,2,7 months ago
97,Chapar,دفتر نمایندگی چاپار پاسداران مجیدیه هروی,Tehran,Tehran,53.26,4.0,3,a year ago
98,Tipax,Tipax,,North Khorasan,53.17,3.2,10,Edited 7 years ago
99,Tipax,نمایندگی مشهد فجر تیپاکس,,Razavi Khorasan,53.17,3.2,10,a year ago
100,Tipax,نمایندگی تیپاکس ملکان,,East Azerbaijan,53.17,3.2,10,a year ago
101,Tipax,تیپاکس رودان کد7608,,Hormozgan,53.08,3.75,4,a year ago
102,Tipax,تیپاکس شهرک صنعتی Tipax,,Yazd,52.99,4.5,2,7 months ago
103,Tipax,دفتر پیشخوان و نمایندگی تیپاکس,Isfahan,Isfahan,52.99,4.5,2,a year ago
104,Tipax,تیپاکس نمایندگی والفجر,,Fars,52.99,4.5,2,a year ago
105,Tipax,تیپاکس جالق,JP44+5P3,Jalq,52.99,4.5,2,a year ago
106,Tipax,نمایندگی تیپاکس رحیم آباد,,Gilan,52.99,4.5,2,3 years ago
107,Tipax,Tipax نمایندگی تیپاکس شعبه ایثار,,Hormozgan,52.93,3.1,10,a year ago
108,Chapar,Chapar Center,Tehran,Tehran Province,52.81,2.933,15,2026-08-01
109,Tipax,شرکت تیپاکس,,Sistan and Baluchestan,52.79,3.222,9,a year ago
110,Tipax,نمایندگی تیپاکس دزفول کمیل,,خوزستان,52.72,3.5,6,a year ago
111,Post,شرکت ملی پست ایران,Tehran,Tehran,52.72,3.5,6,a year ago
112,Tipax,تیپاکس شعبه ملوان,,Hormozgan,52.42,3.286,7,a year ago
113,Tipax,Tipax Isfahan,Isfahan,Isfahan Province,52.41,2.8,15,2026-07-30
114,Mahex,دفتر نمایندگی ماهکس,,East Azerbaijan,52.16,3.143,7,a year ago
