geo_level,geo_name,province,rank,company_name,score,review_count,branch_count,avg_rating
city,29HG+JMJ,Basmenj,1,Tipax,48.52,3,1,2.0
city,58J3+Q8R نصر 1,Bandar Abbas,1,Tipax,42.63,10,1,1.4
city,68FH+832,Bandar Abbas,1,Tipax,51.7,1,1,5.0
city,69Q3+5GP,Bandar Abbas,1,Tipax,48.82,7,1,2.143
city,9P2H+P63,Ahvaz,1,Tipax,44.7,10,1,1.7
city,Ahar,بلوار جمهوری,1,Tipax,51.99,2,1,4.0
city,Ahvaz، ‫بلوار ناصح شرقی،دفتر تیپاکس، بلوار معلم، پلاک ابتدای,Iran,1,Tipax,51.7,1,1,5.0
city,Ahvaz، ‫معلم غربی، 7MRR+6R7,Iran,1,Tipax,48.41,1,1,1.0
city,Amol,ده متری اول,1,Tipax,58.73,10,1,4.2
city,Ardabil,Ardabil,1,Mahex,54.82,3,1,5.0
city,Bandar-e Mahshahr، فاز 4، بوستان ششم غربی,Abozar Blvd,1,Tipax,51.83,10,1,3.0
city,Bijar,Kurdistan,1,Chapar,51.7,1,1,5.0
city,Chenaran، خیابان شهید بهشتی 15، J4MF+6Q2,Iran,1,Tipax,51.7,1,1,5.0
city,F9V6+PG8,Kahrizak,1,Chapar,50.32,1,1,3.0
city,FV47+X35,Zahedan,1,Tipax,48.57,10,1,2.4
city,FW46+P3J,Saman,1,Tipax,47.86,3,1,2.0
city,Isfahan,Isfahan,1,AloPeyk,58.97,10,1,4.3
city,Isfahan,Isfahan Province,1,Tipax,52.41,15,1,2.8
city,Isfahan,Isfahan,2,Tipax,55.6,180,46,2.478
city,JP44+5P3,Jalq,1,Tipax,52.99,2,1,4.5
city,Karaj,Alborz,1,Tipax,52.38,19,3,2.737
city,Khaf,خیابان فصیح,1,Tipax,51.7,1,1,5.0
city,Khash، خیابان نیکبخت، 66F7+576,Iran,1,Tipax,51.6,10,1,2.9
city,Khorramabad,Iran,1,Tipax,50.0,0,1,0.0
city,Mashhad,Razavi Khorasan,1,Tipax,48.74,37,3,2.162
city,Najafabad,Riazi St، روبه روی حلال احمر,1,Tipax,44.47,10,1,1.6
city,Qaderabad,Boulevard Imam,1,Tipax,53.38,4,1,4.0
