company,category,count
AloPeyk,delivery_delay,1
AloPeyk,other,7
AloPeyk,staff_behavior,1
AloPeyk,support,3
AloPeyk,tracking,1
Chapar,delivery_delay,15
Chapar,other,25
Chapar,package_damage,5
Chapar,price,6
Chapar,staff_behavior,5
Chapar,support,2
Chapar,tracking,2
Mahex,delivery_delay,3
Mahex,other,14
Mahex,price,3
Mahex,staff_behavior,4
Mahex,support,3
Post,delivery_delay,3
Post,lost_package,1
Post,other,27
Post,package_damage,1
Post,staff_behavior,1
Post,tracking,3
Tipax,delivery_delay,99
Tipax,lost_package,10
Tipax,other,695
Tipax,package_damage,25
Tipax,price,52
Tipax,staff_behavior,77
Tipax,support,10
Tipax,tracking,8
