rank,branch_id,name,city,province,collected_reviews,claimed_review_count,google_rating,maps_url,phone
1,1,TIHUB,Tehran,Tehran,10,39,2.5,https://www.google.com/maps/place/TIHUB/data=!4m7!3m6!1s0x3f8dfb266d4dd54f:0x344a63f89052fc23!8m2!3d35.7047292!4d51.2295103!16s%2Fg%2F11g22yzb_w!19sChIJT9VNbSb7jT8RI_xSkPhjSjQ?authuser=0&hl=en&rclk=1,+98 21 4458 2203
2,2,Tipax,,North Khorasan,10,30,3.4,https://www.google.com/maps/place/Tipax/data=!4m7!3m6!1s0x3f709688c8262afb:0x2bb392456b9429eb!8m2!3d37.4785541!4d57.3317339!16s%2Fg%2F11c75x9zwb!19sChIJ-yomyIiWcD8R6ymUa0WSsys?authuser=0&hl=en&rclk=1,+98 58 3224 5541
3,3,تیپاکس شعبه 4,58J3+Q8R نصر 1,Bandar Abbas,10,10,1.4,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+4%E2%80%AD/data=!4m7!3m6!1s0x3ef9d7adf4e42669:0x3422e2db7cb5bdf2!8m2!3d27.1819782!4d56.3032636!16s%2Fg%2F11rwyjft4x!19sChIJaSbk9K3X-T4R8r21fNviIjQ?authuser=0&hl=en&rclk=1,+98 917 499 1626
4,5,تیپاکس شعبه کشاورز,Isfahan,Isfahan,10,14,1.3,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%E2%80%AD/data=!4m7!3m6!1s0x3fbc371500132a3d:0x7fdd6eaa1199ba5d!8m2!3d32.6231012!4d51.6122667!16s%2Fg%2F11k43429j_!19sChIJPSoTABU3vD8RXbqZEapu3X8?authuser=0&hl=en&rclk=1,+98 903 964 8304
5,9,سالن سورتینگ تیپاکس ( تی هاب ),Isfahan,Isfahan,10,40,1.7,https://www.google.com/maps/place/%D8%B3%D8%A7%D9%84%D9%86+%D8%B3%D9%88%D8%B1%D8%AA%DB%8C%D9%86%DA%AF+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%28+%D8%AA%DB%8C+%D9%87%D8%A7%D8%A8+%29%E2%80%AD/data=!4m7!3m6!1s0x3fbc4b344e622037:0x31788158f39b69ee!8m2!3d32.7412812!4d51.7452476!16s%2Fg%2F11v13cdmsz!19sChIJNyBiTjRLvD8R7mmb81iBeDE?authuser=0&hl=en&rclk=1,
6,10,تیپاکس شعبه ملاصدرا,,Fars,10,15,3.0,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%D9%85%D9%84%D8%A7%D8%B5%D8%AF%D8%B1%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3fb21309d8ce8ea5:0xe665ff903a701277!8m2!3d29.6235117!4d52.5158739!16s%2Fg%2F11rhl94l2h!19sChIJpY7O2AkTsj8RdxJwOpD_ZeY?authuser=0&hl=en&rclk=1,+98 917 060 5730
7,12,تیپاکس قم|شعبه مرکزی,,Qom,10,60,2.1,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%82%D9%85%7C%D8%B4%D8%B9%D8%A8%D9%87+%D9%85%D8%B1%DA%A9%D8%B2%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3f93bb0e10bbb229:0xc6ecef86f38933c!8m2!3d34.6346026!4d50.8732812!16s%2Fg%2F11hk3_h1pw!19sChIJKbK7EA67kz8RPJM4b_jObgw?authuser=0&hl=en&rclk=1,+98 25 3784 1629
8,24,نمایندگی تیپاکس رهنان,Isfahan,Isfahan,10,16,2.3,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B1%D9%87%D9%86%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fbc33bdb6f28a29:0x38d2353464291552!8m2!3d32.6818385!4d51.6077128!16s%2Fg%2F11t59ljfgt!19sChIJKYrytr0zvD8RUhUpZDQ10jg?authuser=0&hl=en&rclk=1,
9,30,تیپاکس شعبه آرژانتین,Tehran,Tehran,10,22,2.3,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%D8%A2%D8%B1%DA%98%D8%A7%D9%86%D8%AA%DB%8C%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3f8e01c4fc2082b5:0x8eb4ed8e8fda4d7d!8m2!3d35.7288757!4d51.4156631!16s%2Fg%2F11n0cjxtxg!19sChIJtYIg_MQBjj8RfU3aj47ttI4?authuser=0&hl=en&rclk=1,+98 21 8871 8122
10,37,تیپاکس نمایندگی فیض اصفهان,روبروی مسجد رکن الملک،,Feiz St,10,67,2.8,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D9%81%DB%8C%D8%B6+%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fbc49df03d49acf:0x68bf94bdc7d76d4e!8m2!3d32.6292675!4d51.6854294!16s%2Fg%2F11dxrxs5_x!19sChIJz5rUA99JvD8RTm3Xx72Uv2g?authuser=0&hl=en&rclk=1,+98 31 3661 2118
11,40,نمایندگی تیپاکس شیراز شهرک صنعتی,,Fars,10,12,2.2,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2+%D8%B4%D9%87%D8%B1%DA%A9+%D8%B5%D9%86%D8%B9%D8%AA%DB%8C%E2%80%AD/data=!4m7!3m6!1s0x3fb271b984067783:0x8e2e4e5be9159c65!8m2!3d29.481074!4d52.5563379!16s%2Fg%2F11mtrmy3g_!19sChIJg3cGhLlxsj8RZZwV6VtOLo4?authuser=0&hl=en&rclk=1,+98 917 087 8790
12,48,تیپاکس آریا,Isfahan,Isfahan,10,10,4.1,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%A2%D8%B1%DB%8C%D8%A7%E2%80%AD/data=!4m7!3m6!1s0x3fbc4b004bedb029:0xbd71a56d9d8ebd78!8m2!3d32.7099851!4d51.676553!16s%2Fg%2F11lw36zfsh!19sChIJKbDtSwBLvD8ReL2OnW2lcb0?authuser=0&hl=en&rclk=1,+98 31 9109 0056
13,64,نمایندگی تیپاکس آتشگاه اصفهان,Isfahan,Isfahan,10,35,2.6,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%A2%D8%AA%D8%B4%DA%AF%D8%A7%D9%87+%D8%A7%D8%B5%D9%81%D9%87%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fbc3567367b07d1:0xb3d2e6606b519b86!8m2!3d32.6684307!4d51.6381062!16s%2Fg%2F11r2r3gkrk!19sChIJ0Qd7Nmc1vD8RhptRa2Dm0rM?authuser=0&hl=en&rclk=1,+98 31 3339 3565
14,69,نمایندگی تیپاکس نازی آباد,Tehran,Tehran,10,26,3.8,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%86%D8%A7%D8%B2%DB%8C+%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3f91ff9c2a146c6b:0xcf5dd9e501f0a362!8m2!3d35.6353739!4d51.4071935!16s%2Fg%2F11j2zbkvgg!19sChIJa2wUKpz_kT8RYqPwAeXZXc8?authuser=0&hl=en&rclk=1,+98 21 8888 5035
15,71,تیپاکس گلستان,,Golestan,10,29,2.9,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86%E2%80%AD/data=!4m7!3m6!1s0x3fc3df4ec2cc59bf:0xd7e12300c6e01022!8m2!3d31.2907772!4d48.6424296!16s%2Fg%2F11lfgvzq7j!19sChIJv1nMwk7fwz8RIhDgxgAj4dc?authuser=0&hl=en&rclk=1,+98 61 3334 4633
16,73,نمایندگی تیپاکس شیراز پاسارگاد,,Fars,10,34,2.8,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%DB%8C%D8%B1%D8%A7%D8%B2+%D9%BE%D8%A7%D8%B3%D8%A7%D8%B1%DA%AF%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3fb213d4c4a77e57:0xf5640ea26f1e8f7e!8m2!3d29.6070977!4d52.4804898!16s%2Fg%2F11k5b7m33x!19sChIJV36nxNQTsj8Rfo8eb6IOZPU?authuser=0&hl=en&rclk=1,+98 917 354 4672
17,83,TIPAX,Isfahan,Isfahan,10,41,2.2,https://www.google.com/maps/place/TIPAX/data=!4m7!3m6!1s0x3fbc4b692050cbd9:0x4e6236d6b5deb931!8m2!3d32.6512625!4d51.6862656!16s%2Fg%2F11qnknmb21!19sChIJ2ctQIGlLvD8RMbnetdY2Yk4?authuser=0&hl=en&rclk=1,+98 31 3273 0138
18,85,تیپاکس شعبه نورآباد,,Fars,10,20,4.6,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%D9%86%D9%88%D8%B1%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3fb12771d6ced291:0xbff49c4e15f7ad9a!8m2!3d30.1182004!4d51.5193514!16s%2Fg%2F11g_x6dp42!19sChIJkdLO1nEnsT8Rmq33FU6c9L8?authuser=0&hl=en&rclk=1,+98 71 4252 1350
19,93,نمایندگی تیپاکس قرچک,Tehran,Tehran,10,57,2.5,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%82%D8%B1%DA%86%DA%A9%E2%80%AD/data=!4m7!3m6!1s0x3f91ed0878b8bc45:0x16f3e6d8ba2da560!8m2!3d35.4259648!4d51.58037!16s%2Fg%2F11j37lc4gd!19sChIJRby4eAjtkT8RYKUtutjm8xY?authuser=0&hl=en&rclk=1,+98 21 3611 8400
20,102,تیپاکس شعبه ۱ نجف آباد,Najafabad,Riazi St، روبه روی حلال احمر,10,25,2.6,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%B4%D8%B9%D8%A8%D9%87+%DB%B1+%D9%86%D8%AC%D9%81+%D8%A2%D8%A8%D8%A7%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x3fbdd5b27ab8bca7:0x6a3f3b2bcbc9e2b!8m2!3d32.6363364!4d51.360739!16s%2Fg%2F11jmwnwbls!19sChIJp7y4erLVvT8RK568vLLzowY?authuser=0&hl=en&rclk=1,+98 31 4261 3547
21,103,تیپاکس آمل ۱۷شهریور - Tipax Amol Branch,Amol,ده متری اول,10,21,3.5,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D8%A2%D9%85%D9%84+%DB%B1%DB%B7%D8%B4%D9%87%D8%B1%DB%8C%D9%88%D8%B1+-+Tipax+Amol+Branch%E2%80%AD/data=!4m7!3m6!1s0x3f8fa3dd59a3c6e3:0xccad3fb3bdcfc62d!8m2!3d36.4683895!4d52.342006!16s%2Fg%2F11rqlcz81c!19sChIJ48ajWd2jjz8RLcbPvbM_rcw?authuser=0&hl=en&rclk=1,+98 935 750 5170
22,111,تیپاکس ملک‌شهر,Isfahan,Isfahan,10,18,3.4,https://www.google.com/maps/place/%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%D9%85%D9%84%DA%A9%E2%80%8C%D8%B4%D9%87%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3fbdcbd8f4c1769f:0xd433cb925c1cdcf3!8m2!3d32.7286724!4d51.6569259!16s%2Fg%2F11k6hwnp1c!19sChIJn3bB9NjLvT8R89wcXJLLM9Q?authuser=0&hl=en&rclk=1,+98 990 299 4091
23,116,نمایندگی تیپاکس کاشان امیرکبیر,Isfahan,Isfahan,10,29,2.3,https://www.google.com/maps/place/%D9%86%D9%85%D8%A7%DB%8C%D9%86%D8%AF%DA%AF%DB%8C+%D8%AA%DB%8C%D9%BE%D8%A7%DA%A9%D8%B3+%DA%A9%D8%A7%D8%B4%D8%A7%D9%86+%D8%A7%D9%85%DB%8C%D8%B1%DA%A9%D8%A8%DB%8C%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3f96834966198863:0xd91ebbd2779319f1!8m2!3d33.9819206!4d51.421731!16s%2Fg%2F11ncb7nf76!19sChIJY4gZZkmDlj8R8RmTd9K7Htk?authuser=0&hl=en&rclk=1,+98 31 5535 3955
